season,game_id,game_date,home,away,y,pts_h,pts_a,am,p_mkt,gp_home,gp_away,ff_ready,carry_active,n_cur_rows,n_out_home,n_out_away,b2b_h,b2b_a,cm,fm,rm_core,prior_term,sched,cont_h,cont_a,m_us,p_us
2023-24,0022300062,2023-10-24,GSW,PHX,0,104,108,-4,0.6231343912109123,0,0,1,1,0,0,0,0,0,0.0,-0.413559,0.0,-0.068292,2.206508,0.5556,0.5556,1.999728,0.5689920811830231
2023-24,0022300061,2023-10-24,DEN,LAL,1,119,107,12,0.656232981418711,0,0,1,1,0,0,0,0,0,0.0,2.761243,0.0,1.778232,2.206508,0.5556,0.5556,3.587129,0.6220391429277313
2023-24,0022300064,2023-10-25,IND,WAS,1,143,120,23,0.656232981418711,0,0,1,1,0,0,0,0,0,0.0,-1.420532,0.0,-1.035334,2.206508,0.5556,0.5556,1.496242,0.5517666878433827
2023-24,0022300063,2023-10-25,CHA,ATL,1,116,110,6,0.34376701858128905,0,0,1,1,0,0,0,0,0,0.0,-3.418708,0.0,-3.507582,2.206508,0.5556,0.5556,0.497154,0.5172554348095875
2023-24,0022300068,2023-10-25,MIA,DET,1,103,102,1,0.796561813968603,0,0,1,1,0,0,0,0,0,0.0,4.916253,0.0,4.836868,2.206508,0.5556,0.5556,4.664635,0.6565293893766992
2023-24,0022300066,2023-10-25,ORL,HOU,1,116,86,30,0.656232981418711,0,0,1,1,0,0,0,0,0,0.0,4.854196,0.0,2.868583,2.206508,0.5556,0.5556,4.633606,0.6555569422003144
2023-24,0022300070,2023-10-25,CHI,OKC,0,104,124,-20,0.5888456496998049,0,0,1,1,0,0,0,0,0,0.0,0.589633,0.0,0.258598,2.206508,0.5556,0.5556,2.501324,0.5859884418267427
2023-24,0022300065,2023-10-25,NYK,BOS,0,104,108,-4,0.34376701858128905,0,0,1,1,0,0,0,0,0,0.0,-1.6835,0.0,-1.842121,2.206508,0.5556,0.5556,1.364758,0.5472460564622496
2023-24,0022300074,2023-10-25,LAC,POR,1,123,111,12,0.8188567031623804,0,0,1,1,0,0,0,0,0,0.0,2.658198,0.0,2.227768,2.206508,0.5556,0.5556,3.535607,0.620355281635194
2023-24,0022300073,2023-10-25,SAS,DAL,0,119,126,-7,0.34376701858128905,0,0,1,1,0,0,0,0,0,0.0,-7.948294,0.0,-5.380307,2.206508,0.5556,0.5556,-1.767639,0.43893008149038226
2023-24,0022300072,2023-10-25,UTA,SAC,0,114,130,-16,0.44632827295194966,0,0,1,1,0,0,0,0,0,0.0,-2.996134,0.0,-1.727929,2.206508,0.5556,0.5556,0.708441,0.524578818366401
2023-24,0022300071,2023-10-25,MEM,NOP,0,104,111,-7,0.5536717270480503,0,0,1,1,0,0,0,0,0,0.0,2.454414,0.0,0.791766,2.206508,0.5556,0.5556,3.433715,0.6170167267879815
2023-24,0022300067,2023-10-25,BKN,CLE,0,113,114,-1,0.44632827295194966,0,0,1,1,0,0,0,0,0,0.0,-2.495061,0.0,-2.346144,2.206508,0.5556,0.5556,0.958977,0.5332486843470221
2023-24,0022300069,2023-10-25,TOR,MIN,1,97,94,3,0.5179520501205839,0,0,1,1,0,0,0,0,0,0.0,-0.479284,0.0,0.916455,2.206508,0.5556,0.5556,1.966866,0.5678724008263404
2023-24,0022300076,2023-10-26,LAL,PHX,1,100,95,5,0.7178674702465342,1,1,1,1,0,0,0,0,0,0.0,-1.59829,0.0,-0.347747,2.206508,0.5556,0.5556,1.407363,0.5487117663185613
2023-24,0022300075,2023-10-26,MIL,PHI,1,118,117,1,0.6878806892309335,0,0,1,1,0,0,0,0,0,0.0,-0.455045,0.0,-0.553408,2.206508,0.5556,0.5556,1.978985,0.5682854062453669
2023-24,0022300084,2023-10-27,DAL,BKN,1,125,120,5,0.7178674702465342,1,1,1,1,0,0,0,0,0,0.0,-0.937544,0.0,-0.343769,2.206508,0.5556,0.5556,1.737736,0.5600468612135867
2023-24,0022300081,2023-10-27,CLE,OKC,0,105,108,-3,0.5888456496998049,1,1,1,1,0,0,0,0,0,0.0,3.469354,0.0,2.197872,2.206508,0.5556,0.5556,3.941185,0.6335290934956491
2023-24,0022300085,2023-10-27,UTA,LAC,1,120,118,2,0.34376701858128905,1,1,1,1,0,0,0,0,0,0.0,-1.45759,0.0,-0.599208,2.206508,0.5556,0.5556,1.477713,0.551130125341526
2023-24,0022300078,2023-10-27,MEM,DEN,0,104,108,-4,0.3121193107690664,1,1,1,1,0,0,0,0,0,0.0,0.695593,0.0,-0.75478,2.206508,0.5556,0.5556,2.554304,0.5877724704724373
2023-24,0022300080,2023-10-27,BOS,MIA,1,119,111,8,0.7722859781343504,1,1,1,1,0,0,0,0,0,0.0,4.52975,0.0,2.981864,2.206508,0.5556,0.5556,4.471383,0.6504517271361697
2023-24,0022300087,2023-10-27,SAC,GSW,0,114,122,-8,0.6231343912109123,1,1,1,1,0,0,0,0,0,0.0,0.519483,0.0,0.249952,2.206508,0.5556,0.5556,2.466249,0.5848060860575239
2023-24,0022300079,2023-10-27,ATL,NYK,0,120,126,-6,0.5179520501205839,1,1,1,1,0,0,0,0,0,0.0,-1.681234,0.0,-1.434867,2.206508,0.5556,0.5556,1.365891,0.5472850405843904
2023-24,0022300083,2023-10-27,SAS,HOU,1,126,122,4,0.5888456496998049,1,1,1,1,0,0,0,0,0,0.0,-0.417935,0.0,-1.20802,2.206508,0.5556,0.5556,1.99754,0.5689175556977243
2023-24,0022300086,2023-10-27,POR,ORL,0,97,102,-5,0.34376701858128905,1,1,1,1,0,0,0,0,0,0.0,-1.113427,0.0,-0.828345,2.206508,0.5556,0.5556,1.649794,0.5570351888169855
