season,team_id,team,ps_n,ps_pd,ps_cont_any,ps_cont_last2,ps_cont_wt,ps_top5_ret,rookie_ps_share,rookie_rs_share10,first5_cont,open_cont,n_ps_players,n_ps_rookie_players
2023-24,1610612737,ATL,5,-2.2,0.8019,0.8019,0.7919,4,0.174,0.0037,0.8019,0.7816,18,4
2023-24,1610612738,BOS,5,10.6,0.6096,0.6096,0.6089,3,0.044,0.0,0.6096,0.6063,18,2
2023-24,1610612739,CLE,4,5.5,0.6297,0.5066,0.5903,3,0.1347,0.0299,0.6297,0.5777,19,4
2023-24,1610612740,NOP,4,-10.75,0.6116,0.6116,0.6116,4,0.2021,0.1239,0.5909,0.5903,18,7
2023-24,1610612741,CHI,5,-4.2,0.8579,0.8579,0.8451,5,0.0935,0.0054,0.8551,0.8533,20,5
2023-24,1610612742,DAL,4,-3.5,0.5076,0.5076,0.4801,2,0.2162,0.0968,0.5023,0.3901,20,4
2023-24,1610612743,DEN,5,2.6,0.5422,0.5422,0.5365,4,0.2669,0.0414,0.693,0.6634,20,8
2023-24,1610612744,GSW,5,4.6,0.4897,0.4897,0.4897,2,0.1684,0.0465,0.6055,0.4887,20,4
2023-24,1610612745,HOU,5,10.8,0.5008,0.4113,0.4791,3,0.2063,0.0452,0.4981,0.3999,20,4
2023-24,1610612746,LAC,4,0.0,0.7175,0.705,0.6758,2,0.1268,0.0243,0.6096,0.6096,18,3
2023-24,1610612747,LAL,6,-7.333,0.4092,0.3778,0.3831,3,0.2537,0.0205,0.3762,0.3762,20,7
2023-24,1610612748,MIA,5,-2.6,0.593,0.593,0.516,0,0.0373,0.0914,0.7009,0.6081,20,2
2023-24,1610612749,MIL,5,-1.4,0.5112,0.4195,0.4767,2,0.1024,0.0241,0.5068,0.479,21,5
2023-24,1610612750,MIN,4,14.0,0.7076,0.4995,0.6293,2,0.0594,0.0008,0.6984,0.5175,21,2
2023-24,1610612751,BKN,4,6.0,0.4991,0.4991,0.4949,2,0.0779,0.0028,0.5381,0.5381,16,2
2023-24,1610612752,NYK,3,-10.333,0.9061,0.7886,0.894,4,0.02,0.0,0.9061,0.803,20,3
2023-24,1610612753,ORL,4,10.25,0.7966,0.7966,0.7619,0,0.1709,0.07,0.7738,0.7738,21,3
2023-24,1610612754,IND,4,-3.75,0.855,0.8474,0.7933,3,0.1928,0.0245,0.8529,0.8474,18,4
2023-24,1610612755,PHI,4,0.75,0.6444,0.6444,0.5824,4,0.0887,0.0011,0.6444,0.586,18,3
2023-24,1610612756,PHX,5,8.2,0.1931,0.1931,0.1931,1,0.0,0.0,0.1931,0.1747,17,0
2023-24,1610612757,POR,4,3.25,0.4085,0.4085,0.3975,1,0.3972,0.1823,0.3903,0.3763,17,6
2023-24,1610612758,SAC,5,-5.0,0.8762,0.813,0.8754,2,0.1669,0.0767,0.813,0.813,20,4
2023-24,1610612759,SAS,5,4.8,0.6978,0.6713,0.6877,3,0.1241,0.1232,0.6978,0.579,19,4
2023-24,1610612760,OKC,5,3.4,0.8741,0.7263,0.831,3,0.1659,0.1093,0.7616,0.7616,19,3
2023-24,1610612761,TOR,4,23.5,0.7646,0.7515,0.6962,3,0.1746,0.0618,0.7515,0.6247,20,5
2023-24,1610612762,UTA,5,4.4,0.6742,0.6742,0.664,2,0.1574,0.0963,0.6598,0.6598,19,3
2023-24,1610612763,MEM,5,-1.2,0.62,0.4871,0.5471,1,0.067,0.0003,0.5761,0.3859,19,2
2023-24,1610612764,WAS,4,14.5,0.5483,0.3819,0.4634,1,0.1175,0.1062,0.5176,0.4646,20,3
2023-24,1610612765,DET,4,-2.25,0.5529,0.5529,0.5485,2,0.2398,0.2214,0.5484,0.5077,18,4
2023-24,1610612766,CHA,4,-9.0,0.5671,0.5671,0.5474,4,0.1981,0.1263,0.6102,0.5705,15,4
2024-25,1610612737,ATL,4,-7.0,0.6575,0.4493,0.5175,0,0.1077,0.1577,0.6549,0.5914,19,3
2024-25,1610612738,BOS,5,16.6,0.8474,0.7333,0.801,4,0.0678,0.0074,0.8474,0.8377,19,2
2024-25,1610612739,CLE,4,-8.5,0.9669,0.8262,0.8433,4,0.1096,0.0133,0.8525,0.8525,20,2
2024-25,1610612740,NOP,3,-6.667,0.5941,0.5741,0.4905,3,0.1378,0.104,0.5741,0.4621,22,6
2024-25,1610612741,CHI,5,0.2,0.6576,0.6101,0.6511,4,0.0928,0.0322,0.6442,0.5382,20,2
2024-25,1610612742,DAL,4,0.25,0.3899,0.3789,0.3355,1,0.1524,0.0019,0.5515,0.5348,17,3
2024-25,1610612743,DEN,5,-11.6,0.6497,0.6497,0.6416,4,0.1043,0.0032,0.7252,0.7051,21,7
2024-25,1610612744,GSW,6,17.333,0.7125,0.7125,0.701,2,0.0691,0.0017,0.7125,0.7112,20,4
2024-25,1610612745,HOU,4,10.5,0.9754,0.9302,0.8836,5,0.1263,0.0507,0.9686,0.7804,20,3
2024-25,1610612746,LAC,5,9.2,0.5382,0.5382,0.5382,1,0.0607,0.0,0.5382,0.4893,19,3
2024-25,1610612747,LAL,6,-13.667,0.7775,0.5594,0.7775,0,0.2334,0.0768,0.8184,0.7143,18,5
2024-25,1610612748,MIA,5,3.2,0.74,0.74,0.7228,0,0.2616,0.0577,0.7958,0.6932,21,7
