season,game_id,game_date,home,away,y,am,p_mkt,fm,sched,m_us,cm_ps,cm_ps_o
2023-24,0022300062,2023-10-24,GSW,PHX,0,-4,0.6231343912109123,-0.413559,2.206508,1.999728,7.056271069680558,3.6461802814930575
2023-24,0022300061,2023-10-24,DEN,LAL,1,12,0.656232981418711,2.761243,2.206508,3.587129,1.0337823048553236,5.25136545369213
2023-24,0022300064,2023-10-25,IND,WAS,1,23,0.656232981418711,-1.420532,2.206508,1.496242,3.4526890124222884,-0.047816764637898856
2023-24,0022300063,2023-10-25,CHA,ATL,1,6,0.343767018581289,-3.418708,2.206508,0.497154,-6.391422435197338,-6.713818772569445
2023-24,0022300068,2023-10-25,MIA,DET,1,1,0.796561813968603,4.916253,2.206508,4.664635,10.194142693371914,9.472915535127315
2023-24,0022300066,2023-10-25,ORL,HOU,1,30,0.656232981418711,4.854196,2.206508,4.633606,1.0679750601192124,1.9722893097719916
2023-24,0022300070,2023-10-25,CHI,OKC,0,-20,0.5888456496998049,0.589633,2.206508,2.501324,3.1018422232175933,3.910975842939816
2023-24,0022300065,2023-10-25,NYK,BOS,0,-4,0.343767018581289,-1.6835,2.206508,1.364758,-7.1546360732569445,-7.029754404888889
2023-24,0022300074,2023-10-25,LAC,POR,1,12,0.8188567031623804,2.658198,2.206508,3.535607,7.044045703109182,6.264563737625002
2023-24,0022300073,2023-10-25,SAS,DAL,0,-7,0.343767018581289,-7.948294,2.206508,-1.767639,-17.671444053020835,-12.284769284131945
2023-24,0022300072,2023-10-25,UTA,SAC,0,-16,0.4463282729519496,-2.996134,2.206508,0.708441,-3.0497953618387346,-0.3086170091859559
2023-24,0022300071,2023-10-25,MEM,NOP,0,-7,0.5536717270480503,2.454414,2.206508,3.433715,-4.007635682777778,-3.484083409479166
2023-24,0022300067,2023-10-25,BKN,CLE,0,-1,0.4463282729519496,-2.495061,2.206508,0.958977,-2.4833303727430565,-0.07804487423611084
2023-24,0022300069,2023-10-25,TOR,MIN,1,3,0.5179520501205839,-0.479284,2.206508,1.966866,-0.7949546535858698,-2.292995276493057
2023-24,0022300076,2023-10-26,LAL,PHX,1,5,0.7178674702465342,-1.59829,2.206508,1.407363,1.3947193937951403,1.2698724873958338
2023-24,0022300075,2023-10-26,MIL,PHI,1,1,0.6878806892309335,-0.455045,2.206508,1.978985,-2.7579999584027775,4.067366645486111
2023-24,0022300084,2023-10-27,DAL,BKN,1,5,0.7178674702465342,-0.937544,2.206508,1.737736,4.914359295833336,6.977734360625
2023-24,0022300081,2023-10-27,CLE,OKC,0,-3,0.5888456496998049,3.469354,2.206508,3.941185,6.494209218958335,1.424753912291667
2023-24,0022300085,2023-10-27,UTA,LAC,1,2,0.343767018581289,-1.45759,2.206508,1.477713,-8.615687553716823,-6.534319469222222
2023-24,0022300078,2023-10-27,MEM,DEN,0,-4,0.3121193107690664,0.695593,2.206508,2.554304,-2.5690123410532397,-7.046877435671296
2023-24,0022300080,2023-10-27,BOS,MIA,1,8,0.7722859781343504,4.52975,2.206508,4.471383,11.321178932114197,8.864386110983796
2023-24,0022300087,2023-10-27,SAC,GSW,0,-8,0.6231343912109123,0.519483,2.206508,2.466249,-12.142177910557098,-9.6329419713696
2023-24,0022300079,2023-10-27,ATL,NYK,0,-6,0.5179520501205839,-1.681234,2.206508,1.365891,-4.3671219265694425,-2.374115850076388
2023-24,0022300083,2023-10-27,SAS,HOU,1,4,0.5888456496998049,-0.417935,2.206508,1.99754,-8.26743254173611,-3.0111700186458323
2023-24,0022300086,2023-10-27,POR,ORL,0,-5,0.343767018581289,-1.113427,2.206508,1.649794,-0.5155277077754619,-0.6359160461782403
2023-24,0022300082,2023-10-27,CHI,TOR,1,1,0.5888456496998049,1.139982,2.206508,2.776499,-2.4201005596726186,-3.267678832638888
2023-24,0022300077,2023-10-27,CHA,DET,0,-12,0.656232981418711,2.662562,2.206508,3.537789,3.602141190462385,1.8182553654513898
2023-24,0022300091,2023-10-28,CLE,IND,0,-12,0.3768656087890877,6.471827,0.791103,4.027017,7.309327988229168,0.913654370173612
2023-24,0022300094,2023-10-28,PHX,UTA,1,22,0.6878806892309335,2.89021,5.105858,6.550963,8.135702202715276,3.030414126916665
2023-24,0022300090,2023-10-28,NOP,NYK,1,9,0.6231343912109123,-1.120837,5.105858,4.54544,2.862422728986112,0.6376186615208335
2023-24,0022300093,2023-10-28,MIN,MIA,1,16,0.7722859781343504,1.912241,5.105858,6.061979,2.841003648729167,8.064082246560957
2023-24,0022300089,2023-10-28,WAS,MEM,1,7,0.5179520501205839,-3.778463,5.105858,3.216627,-10.765031474505623,-2.197630604513889
2023-24,0022300092,2023-10-28,TOR,PHI,0,-7,0.343767018581289,-2.335032,0.791103,-0.376413,-4.653977722977845,-2.0427618494791675
2023-24,0022300088,2023-10-28,DET,CHI,1,16,0.4111543503001951,-7.489192,3.690454,-0.054142,-9.820091128842593,-5.138584713043982
2023-24,0022300098,2023-10-29,PHI,POR,1,28,0.796561813968603,5.537524,0.791103,3.559865,10.102246522760417,4.820930963125
2023-24,0022300095,2023-10-29,OKC,DEN,0,-33,0.3768656087890877,-1.500929,2.206508,1.456043,-9.06623603386574,-11.410570382685185
2023-24,0022300100,2023-10-29,SAC,LAL,1,5,0.5888456496998049,1.704214,2.206508,3.058615,-6.480626234671682,-4.929306838834876
2023-24,0022300096,2023-10-29,HOU,GSW,0,-11,0.2539630763198815,-7.418027,2.206508,-1.502506,-14.172778774131945,-13.813146107465279
2023-24,0022300097,2023-10-29,MIL,ATL,0,-17,0.7178674702465342,2.147928,2.206508,3.280472,4.142605827430556,1.6070614898958335
2023-24,0022300099,2023-10-29,LAC,SAS,1,40,0.796561813968603,6.816901,2.206508,5.614958,15.863925597189043,15.063478856444448
2023-24,0022300102,2023-10-30,IND,CHI,0,-7,0.6231343912109123,-3.592106,2.206508,0.410455,-3.916960992488427,-2.491116459305556
2023-24,0022300103,2023-10-30,WAS,BOS,0,-19,0.1811432968376197,-4.128386,2.206508,0.142315,-19.064880501554235,-17.181951751889883
2023-24,0022300110,2023-10-30,DEN,UTA,1,8,0.796561813968603,4.053162,0.791103,2.817684,10.56420390136574,7.699160634351851
2023-24,0022300101,2023-10-30,CHA,BKN,0,-12,0.4463282729519496,-5.21129,2.206508,-0.399137,-7.126986561377892,-3.5983285494097217
2023-24,0022300109,2023-10-30,OKC,DET,1,12,0.7178674702465342,6.899559,0.791103,4.240883,6.718248905625,3.038821769166667
2023-24,0022300106,2023-10-30,MEM,DAL,0,-15,0.5536717270480503,2.159772,2.206508,3.286394,-2.4280144492361124,-4.770714890555555
2023-24,0022300111,2023-10-30,LAL,ORL,1,3,0.6231343912109123,1.3791,0.791103,1.480653,7.443252038127315,5.620109681512731
2023-24,0022300107,2023-10-30,MIL,MIA,1,8,0.7460369236801184,3.312944,0.791103,2.447575,3.9420267597183645,7.498924556338735
